,carat,cut,color,clarity,depth,table,x,y,z,clarity_num,cut_num,color_num,price_predicted
1468,1.06,Premium,F,SI1,58.4,61.0,6.73,6.69,3.92,2,4,4,4532.216397543101
1469,1.49,Fair,F,SI1,59.6,63.0,7.2,7.34,4.33,2,1,4,5114.345851140579
1470,0.37,Very Good,F,VS2,59.2,61.0,4.63,4.69,2.76,3,3,4,4595.725478957307
1471,0.4,Very Good,D,VS2,63.5,55.0,4.69,4.66,2.97,3,3,6,3476.4892971301615
1472,0.9,Very Good,E,SI1,62.2,60.0,6.14,6.17,3.83,2,3,5,4590.451618522498
1473,0.35,Very Good,H,SI1,61.3,55.0,4.55,4.58,2.8,2,3,2,3301.8393232410945
1474,1.51,Very Good,E,VS2,62.4,59.0,7.26,7.36,4.56,3,3,5,4362.895973137964
1475,1.08,Premium,G,SI1,59.4,60.0,6.7,6.63,3.96,2,4,3,4368.169833572776
1476,0.38,Ideal,F,VS1,62.4,54.0,4.64,4.68,2.91,4,5,4,3145.7313944475445
1477,1.06,Ideal,I,VS2,61.4,57.0,6.57,6.52,4.02,3,5,1,3796.6437898940403
1478,0.51,Ideal,E,VS2,61.5,55.0,5.23,5.14,3.19,3,5,5,3317.716593594645
1479,1.0,Fair,F,SI1,64.8,58.0,6.26,6.21,4.04,2,1,4,4309.9903016425
1480,0.32,Ideal,F,VS2,60.3,55.0,4.45,4.4,2.67,3,5,4,3222.4529714733344
1481,1.02,Premium,F,VS2,62.4,59.0,6.4,6.45,4.01,3,4,4,4362.895973137964
1482,0.42,Premium,H,VS2,62.1,57.0,4.8,4.76,2.97,3,4,2,3852.2142361314673
1483,1.02,Premium,G,SI2,62.3,58.1,6.41,6.38,4.0,1,4,3,4135.867713796912
1484,0.31,Very Good,F,VS2,63.4,56.0,4.32,4.29,2.73,3,3,4,3711.983577691468
1485,0.9,Good,E,SI1,63.9,57.0,6.12,6.08,3.9,2,2,5,3995.109669313433
1486,1.05,Ideal,F,VS2,59.1,57.0,6.67,6.66,3.94,3,5,4,3614.0551808281944
1487,0.9,Good,F,SI1,58.0,58.0,6.24,6.28,3.63,2,2,4,3770.1631096217443
1488,0.33,Ideal,D,VVS2,60.9,57.0,4.46,4.48,2.72,5,5,6,3756.9506140101603
1489,0.4,Very Good,E,VS1,60.1,58.0,4.72,4.76,2.85,4,3,5,3936.874448334036
1490,1.37,Ideal,G,SI2,62.8,57.0,7.12,7.06,4.45,1,5,3,3907.7846823689015
1491,0.72,Ideal,F,IF,62.0,57.0,5.71,5.78,3.56,7,5,4,3844.275600954692
1492,1.08,Ideal,I,VS2,61.6,56.0,6.63,6.59,4.07,3,5,1,3569.0881445095056
1493,0.35,Premium,E,IF,59.0,61.0,4.64,4.62,2.73,7,4,5,4579.848208603753
1494,2.02,Premium,H,SI2,61.5,58.0,8.14,8.1,4.99,1,4,2,4048.0153408088972
1495,1.88,Good,J,SI2,57.9,59.0,8.16,8.11,4.71,1,2,0,4005.6573901830543
1496,1.52,Ideal,H,VS2,61.8,55.1,7.38,7.42,4.58,3,5,2,3365.8757906987794
1497,1.01,Ideal,G,SI1,62.2,55.0,6.44,6.46,4.01,2,5,3,3373.2870398320756
1498,0.56,Ideal,G,VS1,60.7,57.0,5.27,5.34,3.22,4,5,3,3741.073343656606
1499,0.96,Premium,E,SI2,62.8,60.0,6.3,6.24,3.94,1,4,5,4638.08342958315
1500,0.34,Very Good,E,SI1,63.4,55.0,4.46,4.44,2.82,2,3,5,3468.550661953386
1501,0.8,Ideal,E,SI1,61.1,56.0,5.98,6.01,3.66,2,5,5,3529.3949686256256
1502,0.3,Ideal,D,VS1,61.0,57.0,4.31,4.32,2.63,4,5,6,3764.8892491869356
1503,0.54,Ideal,E,VS2,61.8,57.0,5.23,5.26,3.24,3,5,5,3828.3983306011414
1504,0.71,Good,G,VS2,63.5,59.0,5.63,5.67,3.59,3,2,3,4450.220960082499
1505,1.01,Very Good,F,VS2,61.5,57.0,6.4,6.48,3.96,3,3,4,3804.5824250708156
1506,1.02,Ideal,I,SI2,62.8,58.0,6.37,6.41,4.01,1,5,1,4151.217598106983
1507,2.01,Very Good,I,VS2,62.1,60.0,7.96,8.01,4.96,3,3,1,4582.512983345723
1508,0.33,Ideal,G,VS1,62.4,56.0,4.43,4.45,2.77,4,5,3,3632.5972259237114
1509,0.44,Ideal,G,SI1,62.7,57.0,4.82,4.85,3.03,2,5,3,3899.846047192126
1510,0.31,Very Good,E,VVS1,62.3,59.0,4.32,4.38,2.71,6,3,5,4354.957337961188
1511,0.26,Very Good,G,VVS2,62.6,56.0,4.1,4.13,2.57,5,3,3,3648.474496277262
1512,1.58,Ideal,E,SI1,61.0,57.0,7.5,7.55,4.59,2,5,5,3764.8892491869356
1513,0.32,Ideal,E,SI2,61.6,56.0,4.4,4.43,2.72,1,5,5,3569.0881445095056
1514,0.31,Good,G,SI1,63.3,57.0,4.3,4.33,2.73,2,2,3,3947.477858252778
1515,0.75,Very Good,H,SI2,61.9,56.0,5.79,5.87,3.61,1,3,2,3592.9040500398314
1516,0.39,Very Good,H,VVS2,62.4,57.0,4.67,4.7,2.92,5,3,2,3876.0301416617967
1517,0.41,Ideal,E,VVS2,62.8,54.0,4.77,4.72,2.98,5,5,5,3177.4859351546456
1518,0.54,Ideal,I,IF,61.6,53.0,5.26,5.3,3.25,7,5,1,2838.7893972952534
1519,0.55,Ideal,D,VVS2,61.5,56.0,5.26,5.28,3.24,5,5,6,3561.1495093327303
1520,0.35,Ideal,H,VVS1,62.6,57.0,4.47,4.45,2.79,6,5,2,3891.9074120153473
1521,1.82,Very Good,G,SI2,61.3,58.0,7.83,7.94,4.83,1,3,3,4032.1380704553467
1522,0.72,Ideal,J,VS1,61.1,56.0,5.84,5.82,3.56,4,5,0,3529.3949686256256
1523,1.52,Good,I,SI1,64.0,58.0,7.2,7.27,4.63,2,2,1,4246.481220228294
1524,0.4,Good,F,VVS1,60.6,62.0,4.71,4.73,2.86,6,2,4,4950.29928717025
1525,0.3,Premium,F,IF,61.6,58.0,4.34,4.3,2.66,7,4,4,4055.9539759856725
1526,1.2,Ideal,H,SI1,60.8,57.0,6.9,6.88,4.19,2,5,2,3749.0119788333814
1527,0.56,Fair,F,VS2,57.0,67.0,5.49,5.36,3.09,3,1,4,5881.6729994967445
1528,0.54,Ideal,H,VVS2,61.8,56.0,5.25,5.27,3.25,5,5,2,3584.965414863056
1529,1.55,Ideal,G,VS1,62.0,57.0,7.37,7.42,4.58,4,5,3,3844.275600954692
1530,1.33,Good,D,SI2,59.0,64.0,7.22,7.12,4.23,1,2,6,5310.146955818009
1531,0.37,Premium,H,VS2,61.4,58.0,4.64,4.61,2.84,3,4,2,4040.076705632122
1532,0.37,Premium,D,VS2,60.5,59.0,4.66,4.69,2.83,3,4,6,4212.0619047792225
1533,1.01,Ideal,F,SI2,61.3,57.0,6.4,6.35,3.91,1,5,4,3788.7051547172614
1534,1.19,Very Good,D,SI2,63.5,57.0,6.67,6.75,4.26,1,3,6,3963.3551286063284
1535,0.9,Very Good,I,SI1,60.5,58.0,6.22,6.27,3.78,2,3,1,3968.628989041141
1536,0.32,Ideal,E,IF,62.6,55.0,4.38,4.41,2.75,7,5,5,3405.0415805391804
1537,0.67,Good,J,VS1,64.2,55.6,5.54,5.57,3.57,4,2,0,3678.1194928104433
1538,0.4,Good,D,VS2,63.5,55.0,4.66,4.69,2.97,3,2,6,3476.4892971301615
1539,0.35,Very Good,G,IF,62.6,59.0,4.43,4.49,2.79,7,3,3,4378.773243491514
1540,0.25,Ideal,E,VVS2,62.1,57.0,4.04,4.07,2.52,5,5,5,3852.2142361314673
1541,2.38,Premium,H,VS1,60.9,59.0,8.62,8.59,5.24,4,4,2,4243.816445486327
1542,2.03,Premium,J,SI1,62.1,59.0,8.12,8.06,5.02,2,4,0,4339.080067607638
1543,1.08,Ideal,E,VVS1,61.0,56.0,6.66,6.62,4.05,6,5,5,3521.4563334488503
1544,0.71,Ideal,E,SI1,60.8,57.0,5.8,5.84,3.54,2,5,5,3749.0119788333814
1545,1.01,Premium,F,SI2,61.3,60.0,6.43,6.4,3.93,1,4,4,4519.003901931514
1546,0.61,Very Good,I,VS2,62.7,57.0,5.39,5.42,3.39,3,3,1,3899.846047192126
1547,0.3,Ideal,I,SI1,61.5,57.0,4.3,4.35,2.66,2,5,1,3804.5824250708156
1548,0.48,Ideal,F,VVS1,62.0,55.0,4.99,5.04,3.11,6,5,4,3357.409769478525
1549,0.43,Ideal,D,SI1,61.5,56.0,4.87,4.82,2.98,2,5,6,3561.1495093327303
1550,0.7,Premium,D,VS1,61.0,59.0,5.79,5.72,3.51,4,4,6,4251.7550806631025
1551,2.17,Ideal,I,SI1,60.4,56.0,8.36,8.43,5.07,2,5,1,3473.824522388195
1552,0.7,Good,G,VS2,62.1,61.0,5.68,5.69,3.53,3,2,3,4825.945899083805
1553,1.73,Ideal,F,VS1,62.1,57.0,7.73,7.64,4.77,4,5,4,3852.2142361314673
1554,1.5,Very Good,J,VS1,61.3,59.0,7.36,7.41,4.53,4,3,0,4275.570986193428
1555,0.75,Premium,I,SI1,62.5,58.0,5.77,5.82,3.62,2,4,1,4127.401692576654
1556,0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59,3,2,4,4230.60394987474
1557,1.0,Very Good,G,VS1,59.4,59.0,6.52,6.54,3.88,4,3,3,4124.736917834691
1558,1.02,Good,H,SI2,57.9,61.0,6.75,6.68,3.89,1,2,2,4492.523221659221
1559,0.7,Premium,E,SI1,60.7,58.0,5.74,5.73,3.48,2,4,5,3984.5062593946914
1560,0.5,Ideal,E,VVS1,61.9,58.0,5.07,5.11,3.15,6,5,5,4079.769881516002
1561,2.15,Premium,H,SI2,62.8,58.0,8.22,8.17,5.15,1,4,2,4151.217598106983
1562,0.34,Ideal,G,VVS2,61.1,57.0,4.48,4.52,2.75,5,5,3,3772.827884363711
1563,0.84,Very Good,I,VVS2,61.7,56.0,6.03,6.07,3.74,5,3,1,3577.026779686281
1564,1.01,Very Good,D,SI2,64.0,56.0,6.3,6.38,4.06,1,3,6,3759.615388752123
1565,0.51,Premium,E,SI2,61.8,58.0,5.11,5.08,3.15,1,4,5,4071.8312463392267
1566,0.56,Ideal,D,SI1,62.3,56.0,5.26,5.33,3.3,2,5,6,3624.658590746936
1567,0.35,Ideal,F,VS2,61.4,55.0,4.55,4.6,2.81,3,5,4,3309.7779584178697
1568,1.05,Premium,D,SI1,61.6,61.0,6.55,6.5,4.02,2,4,6,4786.252723199925
1569,0.46,Ideal,E,VS2,62.1,57.0,4.93,4.89,3.05,3,5,5,3852.2142361314673
1570,1.54,Premium,G,VS1,61.1,56.0,7.54,7.48,4.59,4,4,3,3529.3949686256256
1571,0.3,Ideal,F,VVS1,61.6,55.0,4.33,4.37,2.68,6,5,4,3325.6552287714203
1572,0.7,Ideal,G,SI2,61.8,53.0,5.73,5.69,3.53,1,5,3,2854.666667648804
1573,0.31,Good,H,VS1,64.0,59.0,4.25,4.28,2.73,4,2,2,4489.914135966375
1574,0.4,Very Good,E,VVS2,63.6,55.0,4.67,4.7,2.98,5,3,5,3484.427932306937
1575,1.01,Ideal,D,SI1,60.8,56.0,6.54,6.48,3.96,2,5,6,3505.579063095296
1576,0.51,Very Good,G,VVS2,63.5,56.0,5.11,5.07,3.23,5,3,3,3719.922212868243
1577,0.9,Fair,D,VS2,57.5,66.0,6.3,6.25,3.61,3,1,6,5677.933259642539
1578,0.32,Premium,E,SI1,60.1,60.0,4.47,4.42,2.67,2,4,5,4423.740279810207
1579,0.3,Premium,F,SI1,62.1,60.0,4.28,4.26,2.65,2,4,4,4582.512983345723
1580,0.47,Ideal,J,SI1,61.9,55.0,5.0,5.05,3.11,2,5,0,3349.4711343017498
1581,0.31,Very Good,D,SI1,62.1,58.0,4.3,4.33,2.68,2,3,6,4095.6471518695525
1582,0.58,Ideal,G,IF,61.3,56.0,5.36,5.39,3.29,7,5,3,3545.272238979176
1583,0.4,Ideal,F,VVS1,61.3,56.0,4.76,4.73,2.91,6,5,4,3545.272238979176
1584,0.23,Very Good,E,VVS1,61.3,58.0,3.94,3.96,2.42,6,3,5,4032.1380704553467
1585,1.14,Ideal,I,SI1,62.2,56.0,6.65,6.7,4.15,2,5,1,3616.719955570161
1586,0.58,Premium,F,VS2,62.2,55.0,5.4,5.31,3.33,3,4,4,3373.2870398320756
1587,1.37,Premium,J,SI2,60.7,60.0,7.19,7.07,4.33,1,4,0,4471.372090870862
1588,2.25,Ideal,I,SI2,60.5,56.0,8.49,8.54,5.15,1,5,1,3481.7631575649702
1589,1.09,Ideal,F,SI1,62.0,56.0,6.56,6.61,4.08,2,5,4,3600.8426852166067
1590,1.01,Very Good,F,SI1,63.3,59.0,6.42,6.38,4.05,2,3,4,4434.343689728945
1591,1.59,Premium,D,SI2,59.4,61.0,7.62,7.56,4.51,1,4,6,4611.602749310858
1592,0.51,Very Good,G,VVS2,61.5,56.0,5.12,5.15,3.16,5,3,3,3561.1495093327303
1593,0.51,Premium,H,SI2,62.9,56.0,5.08,5.06,3.19,1,4,2,3672.2904018075915
1594,0.32,Ideal,E,VS2,62.1,55.0,4.36,4.4,2.72,3,5,5,3365.3484046553003
1595,0.7,Good,D,VS2,64.1,59.0,5.56,5.49,3.54,3,2,6,4497.852771143151
1596,1.24,Premium,E,SI2,60.8,57.0,6.98,6.94,4.23,1,4,5,3749.0119788333814
1597,0.44,Good,J,VS1,63.1,57.0,4.83,4.87,3.06,4,2,0,3931.6005878992273
1598,0.42,Very Good,D,VS1,60.7,60.0,4.81,4.88,2.94,4,3,6,4471.372090870862
1599,1.01,Premium,F,VS2,62.8,59.0,6.41,6.33,4.0,3,4,4,4394.650513845065
1600,0.51,Premium,F,VS1,60.9,57.0,5.27,5.17,3.18,4,4,4,3756.9506140101603
1601,1.0,Fair,E,SI1,66.3,62.0,6.27,6.06,4.09,2,1,5,5402.80149224647
1602,0.52,Very Good,G,SI1,60.6,61.0,5.17,5.19,3.14,2,3,3,4706.866371432168
1603,0.9,Ideal,G,SI1,61.9,55.0,6.18,6.23,3.84,2,5,3,3349.4711343017498
1604,0.42,Ideal,G,VS1,61.0,56.0,4.82,4.86,2.95,4,5,3,3521.4563334488503
1605,0.3,Very Good,D,SI1,60.6,60.0,4.3,4.32,2.61,2,3,6,4463.433455694087
1606,0.93,Premium,F,SI2,59.5,60.0,6.39,6.36,3.79,1,4,4,4376.108468749551
1607,1.23,Ideal,H,SI2,61.4,54.0,6.95,6.94,4.26,1,5,2,3066.3450426797845
1608,0.56,Ideal,E,VS2,60.9,56.0,5.35,5.32,3.25,3,5,5,3513.517698272075
1609,0.32,Good,H,SI1,63.5,57.0,4.34,4.39,2.77,2,2,2,3963.3551286063284
1610,0.24,Ideal,F,VVS1,60.8,55.0,4.03,4.06,2.46,6,5,4,3262.1461473572144
1611,1.1,Premium,D,SI2,62.4,58.0,6.57,6.6,4.11,1,4,6,4119.463057399878
1612,0.53,Very Good,E,VS1,63.0,56.0,5.13,5.16,3.24,4,3,5,3680.2290369843668
1613,2.01,Very Good,E,SI2,62.0,61.0,8.04,8.1,5.0,1,3,5,4818.0072639070295
1614,1.3,Premium,H,SI2,61.3,58.0,6.99,6.95,4.27,1,4,2,4032.1380704553467
1615,2.0,Very Good,H,SI1,60.9,58.0,8.07,8.15,4.94,2,3,2,4000.383529748242
1616,1.02,Good,D,SI2,58.9,65.0,6.59,6.54,3.87,1,2,6,5545.641236379315
1617,1.0,Premium,E,SI2,58.5,59.0,6.62,6.51,3.84,1,4,5,4053.289201243706
1618,2.0,Premium,H,SI2,62.1,60.0,8.1,8.01,5.3,1,4,2,4582.512983345723
1619,0.3,Premium,D,VS2,60.9,58.0,4.35,4.32,2.64,3,4,6,4000.383529748242
1620,0.71,Very Good,E,VVS2,61.7,60.0,5.7,5.74,3.53,5,3,5,4550.758442638618
1621,1.0,Ideal,G,VS1,62.5,54.0,6.4,6.44,4.01,4,5,3,3153.67002962432
1622,1.2,Good,F,VS1,64.0,56.0,6.63,6.58,4.23,4,2,4,3759.615388752123
1623,0.43,Premium,G,VS2,61.2,58.0,4.9,4.84,2.98,3,4,3,4024.1994352785714
1624,1.09,Fair,I,SI1,56.4,62.0,6.97,6.9,3.9,2,1,1,4616.876609745666
1625,0.72,Ideal,G,VS1,62.7,55.0,5.71,5.68,3.57,4,5,3,3412.9802157159556
1626,1.07,Premium,E,SI2,61.3,59.0,6.64,6.58,4.05,1,4,5,4275.570986193428
1627,1.07,Premium,F,SI2,58.2,58.0,6.79,6.72,3.93,1,4,4,3786.040379975295
1628,0.73,Ideal,D,VS2,62.3,54.0,5.77,5.8,3.6,3,5,6,3137.7927592707692
1629,1.0,Very Good,H,SI2,61.6,58.0,6.43,6.47,3.97,1,3,2,4055.9539759856725
1630,0.74,Premium,D,VS1,62.3,58.0,5.79,5.77,3.6,4,4,6,4111.524422223103
1631,0.9,Good,E,SI2,61.9,62.0,6.14,6.18,3.81,1,2,5,5053.501544468336
1632,0.53,Ideal,F,IF,61.9,54.0,5.22,5.25,3.24,7,5,4,3106.0382185636645
1633,0.98,Fair,G,I1,58.7,57.0,6.54,6.43,3.8,0,1,3,3582.3006401210932
1634,0.37,Ideal,H,SI1,59.7,56.0,4.71,4.67,2.8,2,5,2,3418.2540761507644
1635,0.36,Premium,G,VS1,59.7,59.0,4.61,4.64,2.76,4,4,3,4148.552823365017
1636,1.86,Premium,H,SI2,62.3,57.0,7.85,7.82,4.88,1,4,2,3868.0915064850215
1637,0.4,Premium,G,SI1,61.6,59.0,4.72,4.66,2.89,2,4,3,4299.386891723758
1638,0.56,Ideal,F,SI1,61.5,55.0,5.32,5.35,3.28,2,5,4,3317.716593594645
1639,2.01,Premium,H,SI1,58.2,62.0,8.26,8.21,4.79,2,4,2,4759.772042927632
1640,0.78,Very Good,H,VS1,61.9,57.1,5.87,5.95,3.66,4,3,2,3860.6802573517252
1641,0.32,Premium,D,SI1,60.4,58.0,4.44,4.47,2.69,2,4,6,3960.6903538643655
1642,0.43,Very Good,F,VS2,61.2,59.0,4.84,4.87,2.97,3,3,4,4267.632351016653
1643,1.02,Premium,H,VS2,61.0,58.0,6.56,6.49,3.98,3,4,2,4008.322164925017
1644,0.52,Very Good,G,VS1,59.5,58.0,5.21,5.28,3.12,4,3,3,3889.2426372733808
1645,0.32,Good,H,SI1,63.4,55.0,4.36,4.38,2.77,2,2,2,3468.550661953386
1646,1.15,Premium,G,SI1,62.6,58.0,6.71,6.65,4.18,2,4,3,4135.340327753433
1647,1.01,Premium,F,VVS2,61.8,59.0,6.46,6.42,3.98,5,4,4,4315.264162077308
1648,1.02,Very Good,J,SI2,63.4,56.0,6.42,6.36,4.05,1,3,0,3711.983577691468
1649,1.02,Premium,F,VS1,61.9,58.0,6.45,6.5,4.01,4,4,4,4079.769881516002
1650,0.71,Ideal,E,VVS2,62.0,53.9,5.73,5.77,3.57,5,5,5,3089.6335621666312
1651,0.32,Ideal,E,VS2,62.1,55.0,4.39,4.43,2.74,3,5,5,3365.3484046553003
1652,0.7,Ideal,I,SI1,62.5,55.0,5.7,5.73,3.57,2,5,1,3397.102945362405
1653,0.7,Ideal,J,SI2,61.4,55.0,5.72,5.75,3.52,1,5,0,3309.7779584178697
1654,2.04,Ideal,I,SI1,60.2,56.0,8.19,8.26,4.95,2,5,1,3457.9472520346444
1655,0.52,Very Good,G,SI1,61.7,57.0,5.13,5.16,3.17,2,3,3,3820.459695424366
1656,0.41,Very Good,E,SI1,61.4,56.0,4.77,4.81,2.94,2,3,5,3553.210874155955
1657,2.5,Premium,H,I1,59.9,60.0,8.75,8.67,5.22,0,4,2,4407.863009456652
1658,0.31,Premium,E,VS1,60.2,58.0,4.43,4.38,2.65,4,4,5,3944.8130835108113
1659,1.27,Very Good,I,VS2,63.3,63.0,6.87,6.82,4.33,3,3,1,5408.075352681282
1660,0.63,Premium,H,VS1,61.7,59.0,5.53,5.49,3.4,4,4,2,4307.325526900533
1661,0.4,Premium,E,SI1,61.0,59.0,4.71,4.74,2.88,2,4,5,4251.7550806631025
1662,0.91,Very Good,G,SI1,60.2,58.0,6.29,6.31,3.79,2,3,3,3944.8130835108113
1663,0.31,Very Good,E,SI1,62.8,57.0,4.32,4.34,2.72,2,3,5,3907.7846823689015
1664,1.2,Premium,G,VS1,62.5,59.0,6.72,6.64,4.19,4,4,3,4370.834608314739
1665,1.5,Ideal,G,VS1,61.3,53.9,7.37,7.42,4.53,4,5,3,3034.0631159292006
1666,0.77,Good,D,SI2,63.8,58.0,5.78,5.81,3.7,1,2,6,4230.60394987474
1667,0.27,Very Good,F,VS1,60.5,57.0,4.21,4.23,2.55,4,3,4,3725.1960733030555
1668,2.0,Ideal,H,SI1,63.9,54.0,7.92,8.0,5.1,2,5,2,3264.810922099181
1669,0.34,Ideal,E,VS1,62.8,56.0,4.46,4.49,2.81,4,5,5,3664.351766630816
1670,0.3,Ideal,E,VS2,62.3,57.0,4.32,4.29,2.68,3,5,5,3868.0915064850215
1671,0.32,Ideal,E,VS2,62.0,55.0,4.38,4.46,2.74,3,5,5,3357.409769478525
1672,0.71,Very Good,D,SI1,63.2,58.0,5.65,5.68,3.58,2,3,6,4182.972138814088
1673,0.35,Ideal,H,VVS2,59.2,56.0,4.6,4.65,2.74,5,5,2,3378.5609002668843
1674,1.53,Premium,H,VS2,59.8,58.0,7.49,7.52,4.49,3,4,2,3913.05854280371
1675,1.06,Ideal,I,SI2,61.3,56.0,6.59,6.55,4.03,1,5,1,3545.272238979176
1676,0.24,Good,F,VS1,58.3,61.0,4.09,4.14,2.4,4,2,4,4524.277762366326
1677,0.41,Very Good,E,SI1,63.1,57.0,4.73,4.71,2.98,2,3,5,3931.6005878992273
1678,0.9,Very Good,D,SI1,59.4,62.0,6.19,6.24,3.69,2,3,6,4855.035665048939
1679,1.38,Premium,H,SI2,60.2,60.0,7.31,7.24,4.37,1,4,2,4431.678914986982
1680,0.31,Very Good,G,VS2,62.6,57.0,4.3,4.32,2.7,3,3,3,3891.9074120153473
1681,1.02,Premium,I,SI2,61.2,59.0,6.51,6.46,3.97,1,4,1,4267.632351016653
1682,0.83,Ideal,I,SI1,61.9,57.0,5.96,6.02,3.71,2,5,1,3836.3369657779167
1683,1.02,Premium,F,SI2,62.0,59.0,6.42,6.33,3.95,1,4,4,4331.141432430859
1684,0.9,Premium,I,VS2,58.4,62.0,6.35,6.29,3.69,3,4,1,4775.649313281183
1685,0.4,Very Good,D,VS2,59.6,58.0,4.8,4.83,2.87,3,3,6,3897.181272450156
1686,1.51,Fair,I,VS2,58.8,62.0,7.57,7.51,4.43,3,1,1,4807.403853988288
1687,0.41,Ideal,I,IF,61.8,55.0,4.77,4.81,2.96,7,5,1,3341.532499124971
1688,1.72,Premium,H,VS2,61.9,56.0,7.74,7.67,4.77,3,4,2,3592.9040500398314
1689,0.27,Very Good,J,VVS2,60.8,57.0,4.16,4.2,2.54,5,3,0,3749.0119788333814
1690,0.7,Premium,G,SI1,62.2,58.0,5.69,5.76,3.56,2,4,3,4103.585787046328
1691,0.32,Ideal,F,VVS2,61.2,55.0,4.43,4.46,2.72,5,5,4,3293.900688064319
1692,2.05,Ideal,H,SI1,62.4,57.0,8.14,8.08,5.06,2,5,2,3876.0301416617967
1693,0.77,Premium,J,VS2,62.3,58.0,5.86,5.8,3.63,3,4,0,4111.524422223103
1694,1.28,Good,H,SI2,56.8,62.0,7.22,7.16,4.08,1,2,2,4648.631150452771
1695,1.21,Ideal,G,VS2,59.8,57.0,6.98,6.9,4.15,3,5,3,3669.625627065625
1696,0.24,Very Good,E,VVS1,62.5,59.0,3.96,4.01,2.49,6,3,5,4370.834608314739
1697,1.7,Ideal,I,SI1,62.9,57.0,7.57,7.5,4.74,2,5,1,3915.7233175456768
1698,0.32,Ideal,I,VS2,62.5,55.0,4.37,4.4,2.74,3,5,1,3397.102945362405
1699,1.5,Premium,H,SI2,62.2,60.0,7.29,7.24,4.52,1,4,2,4590.451618522498
1700,1.35,Ideal,G,VVS2,61.5,55.0,7.11,7.16,4.39,5,5,3,3317.716593594645
1701,1.23,Ideal,G,VVS2,61.0,55.0,6.93,6.95,4.23,5,5,3,3278.0234177107686
1702,0.3,Ideal,F,SI1,62.5,57.0,4.27,4.31,2.68,2,5,4,3883.968776838572
1703,0.32,Ideal,H,VS2,62.1,56.0,4.42,4.37,2.73,3,5,2,3608.781320393382
1704,1.1,Very Good,G,SI2,63.4,56.0,6.56,6.54,4.15,1,3,3,3711.983577691468
1705,0.33,Ideal,G,VVS2,60.4,57.0,4.48,4.52,2.72,5,5,3,3717.2574381262802
1706,1.24,Premium,H,SI1,60.2,60.0,6.94,6.91,4.17,2,4,2,4431.678914986982
1707,2.01,Ideal,I,SI2,62.1,55.0,8.12,8.08,5.03,1,5,1,3365.3484046553003
1708,2.0,Fair,H,VS1,66.0,56.0,7.79,7.72,5.12,4,1,2,3918.3880922876397
1709,1.6,Ideal,G,VS2,62.2,55.0,7.5,7.46,4.65,3,5,3,3373.2870398320756
1710,1.3,Premium,I,VS2,62.7,58.0,6.97,6.9,4.35,3,4,1,4143.278962930208
1711,0.52,Ideal,G,SI2,63.0,55.0,5.14,5.12,3.23,1,5,3,3436.7961212462815
1712,0.4,Premium,H,VS1,61.8,59.2,4.72,4.74,2.92,4,4,2,4363.950745224929
1713,1.02,Premium,G,VS1,62.0,59.0,6.45,6.39,3.98,4,4,3,4331.141432430859
1714,0.53,Very Good,E,VS2,60.1,60.0,5.21,5.28,3.15,3,3,5,4423.740279810207
1715,0.41,Very Good,G,SI1,62.8,58.0,4.72,4.74,2.97,2,3,3,4151.217598106983
1716,0.9,Ideal,E,SI2,62.0,55.0,6.15,6.23,3.84,1,5,5,3357.409769478525
1717,1.11,Very Good,E,VVS1,60.2,59.0,6.67,6.79,4.05,6,3,5,4188.245999248897
1718,1.04,Premium,D,VS1,60.5,59.0,6.62,6.58,3.99,4,4,6,4212.0619047792225
1719,0.5,Good,J,VS2,57.7,60.0,5.28,5.26,3.04,3,2,0,4233.213035567585
1720,2.01,Very Good,G,SI1,62.1,60.0,7.94,8.03,4.96,2,3,3,4582.512983345723
1721,0.23,Very Good,D,VVS2,62.6,58.0,3.89,3.94,2.45,5,3,6,4135.340327753433
1722,0.39,Ideal,E,SI1,61.1,55.0,4.74,4.75,2.9,2,5,5,3285.962052887544
1723,0.27,Very Good,E,VVS1,62.6,58.0,4.11,4.16,2.59,6,3,5,4135.340327753433
1724,2.03,Very Good,E,SI2,63.7,58.0,7.91,7.94,5.05,1,3,5,4222.665314697964
1725,0.2,Premium,F,VS2,62.6,59.0,3.73,3.71,2.33,3,4,4,4378.773243491514
1726,1.0,Good,J,VS2,64.3,59.0,6.27,6.21,4.01,3,2,0,4513.730041496701
1727,0.51,Very Good,E,VS1,59.6,56.0,5.19,5.24,3.11,4,3,5,3410.315440973989
1728,1.32,Very Good,F,VVS2,61.6,61.0,6.97,7.02,4.31,5,3,4,4786.252723199925
1729,2.08,Premium,G,SI2,62.2,60.0,8.16,8.09,5.06,1,4,3,4590.451618522498
1730,0.57,Very Good,I,SI1,62.5,58.0,5.22,5.27,3.28,2,3,1,4127.401692576654
1731,1.16,Very Good,G,VS1,62.9,55.0,6.65,6.74,4.21,4,3,3,3428.857486069506
1732,2.03,Ideal,J,VS2,60.5,57.0,8.26,8.2,4.98,3,5,0,3725.1960733030555
1733,0.41,Very Good,F,SI1,63.4,57.0,4.74,4.73,3.0,2,3,4,3955.416493429553
1734,0.3,Ideal,D,SI1,62.1,56.0,4.33,4.3,2.68,2,5,6,3608.781320393382
1735,0.4,Ideal,G,VS2,61.0,57.0,4.74,4.77,2.9,3,5,3,3764.8892491869356
